id,name,phone,city,latitude,longitude,category,years_experience,hourly_rate,rating,n_reviews,response_time_h,response_rate,completion_rate,no_show_rate,is_verified,is_available,subscription,global_score,created_at
21,Monique Launay-Boulanger,0729806990,Marrakech,31.62696,-8.0302,Jardinage,22,122,1.6,86,3.1,0.57,0.84,0.01,1,1,basic,0.553,2025-05-05
22,Christelle Le Gall,0731003309,Tanger,35.81598,-5.86013,Serrurerie,16,158,2.4,20,0.8,0.74,0.73,0.14,1,1,free,0.719,2025-06-17
23,Margot Guilbert de la Grondin,0763193149,Fès,34.0562,-4.89973,Informatique,10,141,1.9,41,4.8,0.78,0.71,0.08,0,1,free,0.442,2026-03-30
24,Patricia Lefèvre,0684987769,Tanger,35.65413,-5.85128,Jardinage,21,217,1.9,92,1.2,0.62,0.98,0.04,1,1,premium,0.582,2026-01-09
25,Valentine Mercier du Fabre,0780831367,Meknès,33.85813,-5.54853,Carrelage,12,203,2.1,54,3.5,0.82,0.85,0.12,1,1,premium,0.638,2026-05-14
26,Martin Ferreira,0744431351,Marrakech,31.5876,-7.96347,Jardinage,14,174,3.4,88,0.6,0.87,0.78,0.09,0,1,elite,0.656,2024-09-15
27,Christine Schneider,0671094777,Marrakech,31.58545,-8.01118,Peinture,9,254,1.5,32,0.6,0.53,0.98,0.07,0,1,free,0.411,2024-08-19
28,Noël Paul,0686774964,Casablanca,33.4978,-7.52253,Peinture,4,110,1.8,63,2.8,0.87,0.98,0.03,1,1,basic,0.568,2024-11-12
29,Jeannine Caron Le Mace,0713493618,Marrakech,31.55897,-8.07298,Plomberie,10,195,2.9,120,3.1,0.95,0.95,0.01,1,1,free,0.551,2026-01-08
30,Arthur Allain,0759401399,Agadir,30.41464,-9.60487,Peinture,17,90,3.9,69,23.3,0.84,0.78,0.01,0,1,basic,0.816,2026-04-03
31,Capucine Guillou,0625674680,Oujda,34.77666,-1.98027,Déménagement,3,312,3.0,125,0.3,0.63,0.73,0.12,0,0,free,0.524,2024-06-06
32,Bernard Poulain,0647710932,Oujda,34.66794,-1.97895,Carrelage,21,239,3.7,127,2.4,0.78,0.73,0.15,0,1,free,0.647,2024-10-03
33,Frédérique Giraud-Gonzalez,0739821465,Fès,34.03295,-4.95317,Nettoyage,16,339,4.0,106,0.9,0.5,0.92,0.13,1,1,elite,0.787,2024-11-04
34,Bernard Barthelemy,0696360576,Oujda,34.69504,-1.94489,Nettoyage,15,277,4.2,96,13.4,0.9,0.9,0.02,0,1,elite,0.887,2026-01-30
35,Laurence Chrétien,0617459615,Tanger,35.83944,-5.75309,Jardinage,1,274,1.8,116,9.2,0.81,0.97,0.07,1,1,basic,0.545,2025-01-31
36,Pierre Mendès,0704556238,Agadir,30.53535,-9.54475,Serrurerie,15,290,4.9,25,2.5,0.9,0.75,0.01,0,1,free,0.73,2025-02-06
37,Dorothée Gimenez,0782175946,Oujda,34.77596,-1.98856,Jardinage,9,208,3.7,117,1.8,0.65,1.0,0.13,1,1,basic,0.811,2025-06-07
38,Gabrielle Le Hubert,0743953394,Agadir,30.53433,-9.64237,Climatisation,19,150,2.9,2,3.0,0.95,0.89,0.05,1,1,premium,0.812,2024-10-17
39,Rémy Rodriguez-Morin,0724745171,Rabat,34.10947,-6.87907,Serrurerie,18,152,2.1,33,4.2,0.61,0.9,0.1,1,0,premium,0.687,2025-12-27
40,Dominique Pascal de la Léger,0713709859,Tanger,35.67092,-5.85679,Peinture,12,193,3.4,116,3.1,0.82,0.84,0.11,0,1,basic,0.779,2024-07-21
41,Frédéric Poulain,0792617964,Casablanca,33.5308,-7.59139,Électricité,13,96,2.3,34,3.5,0.61,0.83,0.04,1,0,free,0.709,2025-06-16
42,Manon Dumont,0605329318,Tanger,35.66448,-5.88246,Électricité,3,186,4.8,116,2.6,0.91,0.77,0.12,0,1,basic,0.805,2025-03-15
43,Marianne Dupuy de la Chauvet,0702402681,Fès,34.13871,-4.9913,Menuiserie,5,112,1.9,6,1.9,0.89,0.85,0.02,1,0,free,0.519,2024-07-19
44,Thierry Barre,0615921249,Agadir,30.41873,-9.49777,Plomberie,14,246,5.0,102,1.4,0.8,0.79,0.08,1,1,basic,0.879,2024-09-30
45,Juliette Neveu-Peron,0752711116,Marrakech,31.61438,-7.89719,Serrurerie,13,129,2.7,116,4.1,0.69,0.74,0.01,0,1,free,0.651,2026-04-22
46,Maurice Salmon,0627315851,Rabat,34.00162,-6.76082,Serrurerie,10,222,4.5,13,2.6,0.9,0.95,0.15,0,1,basic,0.793,2026-03-25
47,Victor Gauthier du Faure,0622961201,Casablanca,33.59667,-7.55567,Informatique,9,190,2.4,46,1.4,0.73,0.75,0.05,1,0,basic,0.512,2026-02-05
48,Adrien Bailly de la Fournier,0743815614,Rabat,34.10378,-6.91607,Déménagement,9,329,1.7,20,2.2,0.65,0.77,0.15,1,1,free,0.6,2025-01-07
49,Olivie Hervé de la Bouvier,0716060715,Fès,34.09042,-5.04552,Électricité,6,299,1.5,110,2.6,0.85,0.83,0.02,1,1,free,0.46,2026-02-27
50,Lucas Pages,0753521818,Oujda,34.75849,-1.82064,Électricité,8,341,3.0,27,0.6,0.89,0.81,0.14,0,1,free,0.56,2024-09-18
51,Raymond Bailly,0799552717,Fès,33.98054,-5.07059,Menuiserie,6,306,4.2,19,3.0,0.9,0.88,0.05,1,1,elite,0.783,2024-07-13
52,Arnaude Lecomte,0679359782,Casablanca,33.54472,-7.63584,Climatisation,20,111,4.5,23,1.8,0.91,0.95,0.15,1,1,basic,0.873,2024-07-15
53,Françoise-Bernadette Lacroix,0790515186,Marrakech,31.67439,-7.87494,Nettoyage,12,225,3.3,40,0.9,0.93,0.99,0.09,1,1,free,0.713,2026-04-15
54,Charlotte Picard,0752816850,Fès,34.12341,-5.04103,Climatisation,5,265,3.9,100,1.1,0.98,0.8,0.11,1,0,basic,0.681,2024-11-10
55,Benjamin Roy-Barbier,0722292706,Rabat,33.97675,-6.7793,Nettoyage,22,266,4.2,9,3.4,0.62,0.83,0.04,0,1,free,0.789,2025-12-03
56,Alphonse de la Vidal,0768862392,Marrakech,31.5883,-7.91437,Jardinage,12,208,4.7,49,0.2,0.74,0.81,0.14,0,1,basic,0.855,2024-10-10
57,Danielle Devaux,0706068536,Agadir,30.33783,-9.67155,Jardinage,14,121,4.7,37,1.4,0.51,0.98,0.13,0,1,free,0.921,2024-10-23
58,Margaret Marion,0628986143,Casablanca,33.52702,-7.5185,Informatique,15,234,4.4,120,0.4,0.62,0.89,0.09,1,0,basic,0.786,2025-10-29
59,Simone Duhamel-Weber,0685188888,Casablanca,33.60163,-7.57357,Informatique,1,90,2.0,109,1.5,0.74,0.89,0.15,1,1,basic,0.534,2024-08-13
60,Guillaume-Marcel Rodriguez,0677221704,Tanger,35.70353,-5.80003,Électricité,5,183,4.2,85,0.1,0.6,0.71,0.14,1,0,free,0.763,2025-12-13
61,Luce Poirier,0776527758,Oujda,34.63336,-1.85663,Maçonnerie,21,216,2.5,12,4.8,0.86,0.72,0.09,0,1,free,0.574,2025-04-29
62,Michèle Pons,0796401658,Rabat,33.9301,-6.80681,Peinture,6,161,3.1,109,9.2,0.57,0.88,0.12,1,1,basic,0.545,2026-03-27
63,Claude Hebert-Lejeune,0765431027,Tanger,35.72969,-5.73682,Plomberie,12,345,3.6,115,1.5,0.78,0.78,0.04,1,0,free,0.806,2025-03-24
64,Joséphine de Chauvin,0718844225,Oujda,34.62187,-1.99016,Électricité,3,340,3.1,113,0.8,0.99,0.94,0.04,1,1,premium,0.735,2026-01-12
65,Émilie Le Besnard,0769125177,Tanger,35.75245,-5.72956,Menuiserie,3,344,3.6,22,1.3,0.94,0.93,0.1,1,0,free,0.774,2025-08-22
66,Margaud Rossi,0714384249,Casablanca,33.64475,-7.58589,Peinture,23,127,2.1,82,2.1,0.58,0.98,0.02,0,1,free,0.789,2026-02-14
67,Adèle Evrard de la Guyon,0678447364,Tanger,35.83356,-5.82024,Plomberie,21,312,1.8,67,0.2,0.53,0.83,0.07,1,1,free,0.712,2025-04-21
68,Augustin Guilbert,0773210469,Tanger,35.81014,-5.75599,Serrurerie,17,294,2.0,94,0.9,0.93,0.75,0.05,1,1,basic,0.665,2024-11-15
69,Thérèse-Brigitte Briand,0700479748,Oujda,34.79394,-1.91858,Peinture,13,84,3.2,23,5.6,0.72,0.96,0.11,0,1,basic,0.697,2025-07-20
70,Gilles du Pinto,0621655852,Casablanca,33.5883,-7.65582,Nettoyage,17,181,2.5,98,2.8,0.7,0.71,0.01,0,0,free,0.735,2025-11-18
71,Marcel de Besson,0788879470,Oujda,34.6108,-1.8264,Menuiserie,6,268,2.6,81,1.2,0.55,0.82,0.05,0,0,free,0.669,2026-03-11
72,Thibaut Michel,0723091307,Casablanca,33.59405,-7.6405,Climatisation,24,240,4.2,58,1.6,0.71,0.76,0.08,0,1,free,0.866,2024-08-07
73,Bernard Salmon,0749733484,Fès,34.03734,-4.98684,Climatisation,11,195,3.2,96,8.5,0.99,0.93,0.11,0,1,elite,0.725,2025-10-09
74,Diane Pires,0724041574,Tanger,35.77258,-5.74006,Informatique,19,325,2.5,31,0.7,0.91,0.78,0.08,1,1,basic,0.724,2026-01-26
75,Éléonore Hernandez,0608267734,Marrakech,31.57382,-7.94438,Nettoyage,2,244,2.3,59,1.0,0.53,0.93,0.1,1,1,free,0.576,2024-07-13
76,Danielle Lecoq Le Lefebvre,0700499154,Fès,34.01555,-4.927,Plomberie,16,312,5.0,101,13.6,0.77,0.85,0.14,0,1,free,0.932,2024-12-19
77,Margot Gérard,0629668516,Rabat,33.98429,-6.79163,Climatisation,1,128,2.4,47,0.6,0.57,0.8,0.04,1,1,basic,0.644,2025-03-05
78,Jérôme Gilbert,0668414593,Tanger,35.71668,-5.78581,Plomberie,23,192,2.4,92,9.5,0.74,0.84,0.15,1,1,free,0.768,2025-09-30
79,Étienne Peltier,0608839822,Marrakech,31.68612,-7.94211,Déménagement,17,247,4.6,20,5.8,0.72,0.9,0.11,1,0,free,0.785,2025-09-04
80,Caroline Lesage,0639106518,Casablanca,33.56303,-7.58694,Jardinage,22,110,3.5,118,8.2,0.53,0.98,0.0,1,1,premium,0.733,2026-03-23
81,Isaac Jacquet,0651286823,Meknès,33.86636,-5.46269,Jardinage,13,81,4.5,96,4.2,0.99,0.84,0.11,1,1,free,0.907,2025-01-26
82,Émilie-Hortense Millet,0633119079,Marrakech,31.62099,-8.05567,Maçonnerie,2,104,4.8,28,0.8,0.52,0.83,0.08,0,1,premium,0.764,2024-10-26
83,Madeleine Salmon,0664408926,Agadir,30.37032,-9.50807,Déménagement,8,333,2.6,82,0.1,0.67,0.89,0.06,1,1,free,0.613,2025-07-28
84,Marc-Georges Gérard,0686688263,Fès,33.99003,-5.06835,Nettoyage,10,210,3.2,57,0.7,0.82,0.98,0.13,1,1,premium,0.671,2024-12-17
85,Martine Torres,0673540331,Casablanca,33.52304,-7.55225,Déménagement,7,325,1.6,18,7.4,0.85,0.91,0.06,1,1,premium,0.603,2025-03-21
86,Laurent Jean-Pineau,0735560932,Meknès,33.8862,-5.51514,Peinture,15,88,2.4,127,0.9,0.97,0.87,0.06,1,1,free,0.778,2025-06-28
87,Jules Dupuis de Monnier,0722872808,Marrakech,31.62935,-7.94767,Climatisation,24,97,2.7,125,5.5,0.54,0.95,0.01,1,1,basic,0.643,2026-03-12
88,Laurent Brunet,0770088600,Marrakech,31.53609,-8.05655,Maçonnerie,2,220,3.3,95,2.3,0.64,0.85,0.1,1,0,basic,0.696,2024-12-05
89,Alice Le Loiseau,0779334101,Rabat,34.11129,-6.83633,Maçonnerie,12,287,2.2,64,1.4,0.78,0.72,0.0,1,1,free,0.534,2025-08-23
90,Jérôme Lemaître-Ruiz,0740148902,Tanger,35.77374,-5.7566,Électricité,8,241,4.6,10,0.0,0.6,0.74,0.12,0,0,free,0.862,2025-04-07
91,Christophe Le Seguin,0685016315,Fès,34.04713,-4.98558,Serrurerie,13,283,3.9,84,10.4,0.66,0.89,0.12,1,1,premium,0.741,2025-12-23
92,Alex Moreau,0665511047,Meknès,33.87876,-5.50845,Climatisation,8,264,2.8,75,4.3,0.55,0.73,0.06,1,1,basic,0.498,2024-09-18
93,Rémy-Gérard Diaz,0698262244,Casablanca,33.48437,-7.57808,Déménagement,13,217,3.6,83,2.0,0.53,0.83,0.06,1,1,free,0.762,2025-02-17
94,Monique Le Guillet,0757569245,Marrakech,31.67726,-7.98201,Déménagement,5,182,2.2,27,2.0,0.59,0.82,0.05,0,1,free,0.564,2026-01-15
95,Benoît Colin,0673741672,Marrakech,31.59185,-8.0286,Serrurerie,19,235,2.8,51,0.8,0.83,0.91,0.12,1,0,elite,0.715,2025-10-08
96,Roland Leblanc,0613529096,Meknès,33.90093,-5.45573,Informatique,12,249,3.0,9,10.1,0.72,0.7,0.04,1,1,basic,0.772,2026-01-20
97,Alix Legros-Gérard,0711254573,Marrakech,31.61778,-8.00464,Climatisation,5,346,3.6,128,2.0,0.74,0.83,0.1,1,1,free,0.523,2026-06-02
98,Claudine Benoit,0773622660,Rabat,33.91768,-6.87553,Électricité,24,181,3.9,42,1.8,0.71,0.7,0.03,1,1,free,0.679,2024-08-08
99,Céline Perrot-Courtois,0796969155,Rabat,34.08566,-6.83362,Carrelage,4,314,2.6,117,2.9,0.91,0.91,0.04,0,1,free,0.691,2024-10-20
100,Adrienne Garcia,0727828274,Tanger,35.67688,-5.87608,Menuiserie,17,151,2.8,36,0.6,0.92,0.89,0.13,0,1,free,0.763,2024-12-21
101,Maurice Dijoux,0634043842,Meknès,33.99379,-5.54612,Jardinage,14,314,2.9,125,2.5,0.89,0.85,0.08,1,1,basic,0.605,2025-12-13
102,Susan Chartier,0707451713,Tanger,35.76859,-5.77848,Informatique,14,187,3.0,55,5.0,0.79,0.81,0.11,0,1,free,0.79,2024-10-25
103,André Bègue,0794812604,Marrakech,31.69729,-7.91506,Déménagement,20,144,2.7,71,3.6,0.57,0.74,0.05,1,0,basic,0.738,2025-07-12
104,Sébastien Peltier,0757759017,Oujda,34.60933,-1.88277,Climatisation,3,263,2.9,115,5.7,0.9,0.82,0.15,0,1,basic,0.588,2025-05-01
105,Léon-Matthieu Poirier,0701277063,Agadir,30.39272,-9.58125,Déménagement,22,147,4.5,87,6.4,0.65,0.96,0.13,1,1,premium,0.822,2024-08-28
106,Thomas Rocher,0603712938,Tanger,35.79507,-5.8018,Plomberie,24,307,2.9,78,0.0,0.85,0.95,0.15,1,1,basic,0.738,2024-08-16
107,Jacques Vidal-Joly,0621890927,Marrakech,31.60422,-7.93121,Électricité,10,259,1.9,94,3.8,0.81,0.75,0.06,0,0,free,0.674,2024-09-01
108,Renée Leclerc,0689994043,Rabat,33.94307,-6.92308,Informatique,11,345,2.8,109,2.8,0.59,0.82,0.1,0,1,premium,0.666,2025-02-05
109,Mathilde Bonnin de Guillot,0758271091,Oujda,34.66203,-1.96738,Climatisation,12,87,3.6,3,0.9,0.52,0.72,0.12,1,1,elite,0.712,2025-10-31
110,Isabelle Carre,0685691463,Meknès,33.87698,-5.56843,Climatisation,9,109,3.4,39,0.8,0.96,0.73,0.09,1,1,free,0.667,2026-04-09
111,Laetitia Devaux,0652410564,Fès,33.95102,-4.95505,Informatique,12,348,1.5,127,0.2,0.86,0.87,0.01,1,1,basic,0.662,2025-10-29
112,Manon De Oliveira,0630756220,Fès,34.00469,-5.05295,Électricité,8,294,4.6,29,0.8,0.62,0.97,0.05,0,1,basic,0.732,2024-10-05
113,Adèle Pruvost,0687053494,Casablanca,33.50377,-7.524,Plomberie,15,204,4.8,17,1.9,0.8,0.85,0.12,1,0,premium,0.795,2025-02-11
114,Océane-Margaret Chauveau,0713836702,Fès,33.92657,-5.01945,Maçonnerie,11,223,3.4,2,0.3,0.96,0.97,0.08,0,1,free,0.769,2024-08-30
115,William Maurice,0765574313,Rabat,34.02207,-6.81193,Serrurerie,14,149,1.8,15,4.5,0.79,0.75,0.02,1,1,basic,0.481,2025-12-05
116,Honoré Courtois,0635213568,Tanger,35.85996,-5.89721,Peinture,3,105,3.1,30,3.4,0.63,1.0,0.0,1,1,free,0.692,2025-12-20
117,Xavier Launay Le Boyer,0719941013,Marrakech,31.54187,-8.06717,Menuiserie,25,307,1.9,15,5.0,0.55,0.95,0.12,1,0,elite,0.653,2024-07-26
118,Charlotte Hernandez,0644720999,Fès,34.125,-5.01445,Informatique,13,205,2.9,7,3.1,0.75,0.96,0.07,1,1,basic,0.556,2025-08-08
119,Hélène Vallet du Lemonnier,0759856420,Marrakech,31.66034,-7.91684,Maçonnerie,13,243,3.7,4,2.7,0.51,0.94,0.04,0,1,premium,0.76,2025-06-06
120,Nicole du Mallet,0752239559,Marrakech,31.73198,-8.06756,Climatisation,25,94,2.3,14,3.6,0.68,0.87,0.02,0,0,elite,0.694,2025-10-22
121,Isaac Lesage,0625250029,Agadir,30.35765,-9.698,Plomberie,1,152,2.3,56,4.5,0.92,0.96,0.14,1,0,basic,0.519,2025-07-15
122,Xavier Michel,0739264422,Rabat,33.98556,-6.87996,Menuiserie,21,80,4.1,111,8.9,0.97,0.82,0.15,0,1,elite,0.764,2026-02-11
123,Marc Camus,0721570433,Tanger,35.85054,-5.73291,Maçonnerie,16,114,3.7,26,1.3,0.89,0.92,0.01,1,1,free,0.721,2024-11-22
124,Denis Chrétien,0604054115,Meknès,33.892,-5.57352,Nettoyage,19,167,2.8,122,6.6,0.58,0.72,0.14,0,1,basic,0.672,2026-02-23
125,Timothée De Sousa,0788444310,Oujda,34.73092,-1.92625,Climatisation,6,281,2.1,111,2.5,0.92,0.75,0.05,1,1,free,0.592,2026-04-13
126,Cécile Nicolas,0741862565,Oujda,34.62176,-2.01394,Menuiserie,16,175,3.7,20,1.8,0.63,0.84,0.03,1,1,premium,0.655,2026-05-19
127,Jean Moreno,0793741608,Rabat,33.93132,-6.87537,Nettoyage,18,344,2.9,58,4.8,0.84,0.89,0.02,0,1,free,0.746,2024-11-23
128,Victor Lopez de Georges,0751168685,Marrakech,31.69619,-8.06192,Serrurerie,7,221,1.8,111,2.2,0.96,0.7,0.11,1,1,elite,0.623,2024-09-28
129,Claude de la Bernier,0764679970,Meknès,33.81775,-5.5329,Déménagement,4,168,4.2,25,1.0,0.57,0.88,0.1,1,0,basic,0.569,2025-05-10
130,Christine Marie,0713247546,Marrakech,31.53205,-7.98646,Peinture,11,125,4.6,5,0.6,0.61,0.95,0.11,0,0,premium,0.68,2024-08-01
131,Marthe Lefebvre-Loiseau,0607053457,Fès,33.93938,-4.95469,Serrurerie,6,338,2.0,7,1.5,0.96,0.9,0.04,1,1,free,0.66,2025-10-03
132,Denis de Fabre,0633346800,Tanger,35.72582,-5.76099,Peinture,10,322,4.1,23,7.3,0.82,0.88,0.0,1,0,free,0.719,2025-04-13
133,Joséphine Aubry,0608589944,Agadir,30.41133,-9.62481,Carrelage,15,135,3.1,55,2.0,0.67,0.78,0.05,1,1,free,0.758,2026-04-03
134,Odette Royer,0744666099,Agadir,30.36042,-9.59436,Maçonnerie,22,177,4.6,103,1.3,0.86,0.91,0.1,1,0,free,0.723,2025-06-07
135,Bertrand Techer,0651353465,Agadir,30.50249,-9.52445,Nettoyage,16,270,2.1,24,0.9,0.65,0.96,0.07,0,1,free,0.656,2026-03-02
136,Honoré Marques,0635697252,Rabat,34.01489,-6.90764,Électricité,17,121,4.5,97,2.0,0.82,0.75,0.1,1,1,free,0.801,2024-11-24
137,Margaux Leblanc,0608350583,Fès,34.03105,-4.94301,Électricité,21,89,2.0,111,3.4,0.81,0.77,0.1,1,1,free,0.704,2025-07-02
138,Martine Reynaud,0657532603,Agadir,30.3558,-9.52808,Peinture,24,194,4.8,116,3.9,0.57,0.92,0.09,1,1,basic,0.915,2026-04-02
139,Stéphane Blanc,0667618472,Casablanca,33.54611,-7.55946,Nettoyage,22,185,3.7,12,3.6,0.82,0.79,0.1,0,1,free,0.764,2026-02-15
140,Alexandria Allard,0648356420,Fès,34.01575,-4.91381,Nettoyage,10,334,4.0,30,7.2,0.84,0.84,0.04,1,1,free,0.601,2024-09-26
141,Lucie Labbé du Leconte,0770120455,Oujda,34.61084,-2.00003,Nettoyage,9,298,1.8,25,4.0,0.55,0.93,0.01,0,1,basic,0.612,2024-11-26
142,Henri Fabre,0746762120,Tanger,35.7287,-5.84747,Déménagement,12,161,2.4,23,0.3,0.96,0.84,0.09,1,1,premium,0.635,2025-06-07
143,Augustin Marchand,0614508993,Casablanca,33.65149,-7.50765,Informatique,16,253,4.9,33,2.2,0.84,0.89,0.06,0,1,elite,0.83,2026-04-15
144,André de la Klein,0675354083,Meknès,33.81753,-5.47672,Déménagement,17,273,1.7,40,1.5,0.62,0.84,0.12,1,0,premium,0.724,2025-09-05
145,Thibault Meyer,0788375503,Tanger,35.67706,-5.83457,Climatisation,14,312,1.6,103,1.2,0.88,0.88,0.11,1,1,free,0.649,2024-09-12
146,Franck Alves,0672614933,Marrakech,31.52187,-8.01242,Climatisation,18,141,4.9,74,8.0,0.7,0.84,0.12,0,1,basic,0.813,2025-08-03
147,Gabriel-Matthieu Joseph,0708086978,Casablanca,33.66534,-7.51683,Déménagement,15,170,1.9,115,3.5,0.59,0.94,0.02,0,1,basic,0.619,2025-04-30
148,Marguerite Hoarau,0626984858,Meknès,33.87591,-5.52373,Informatique,13,191,4.2,70,0.7,0.81,0.79,0.05,0,0,elite,0.887,2026-04-01
149,Gabriel Marchand,0784608106,Fès,34.03414,-4.95799,Carrelage,18,154,4.0,90,0.2,0.53,0.78,0.12,0,1,free,0.851,2024-11-01
150,William Julien,0686384066,Casablanca,33.61431,-7.63409,Nettoyage,4,293,1.6,115,9.4,0.99,0.79,0.08,1,1,basic,0.593,2026-03-02
151,Adrienne Pineau-Rémy,0647212281,Oujda,34.75805,-1.82243,Informatique,25,273,4.0,94,0.1,0.64,0.78,0.02,0,1,basic,0.771,2025-09-25
152,Michel Hoareau-Olivier,0783281826,Fès,33.93383,-4.90732,Déménagement,16,286,1.7,77,0.3,0.61,0.76,0.05,1,1,premium,0.552,2026-02-28
153,Roland Allard,0605616484,Oujda,34.79408,-1.84141,Climatisation,15,92,1.5,88,7.3,0.91,0.81,0.12,1,1,free,0.664,2026-04-03
154,Zacharie Le Pages,0713861207,Marrakech,31.59065,-8.0714,Électricité,21,249,2.1,1,0.1,0.54,0.75,0.04,1,0,free,0.748,2025-02-24
155,Marcelle Martel,0690158144,Meknès,33.86929,-5.51914,Serrurerie,22,124,2.6,99,1.0,0.96,0.81,0.12,1,1,free,0.683,2025-01-16
156,Antoine Lejeune de la Bourgeois,0708821009,Fès,34.08665,-4.93583,Nettoyage,10,281,2.5,36,2.3,0.97,0.79,0.11,0,1,basic,0.737,2025-08-01
157,Corinne Boulay-Antoine,0781414139,Fès,33.95999,-5.06037,Peinture,22,329,2.2,46,9.1,0.68,0.9,0.04,1,1,premium,0.782,2024-12-20
158,Sébastien Pelletier,0605336452,Tanger,35.75644,-5.87111,Climatisation,19,249,2.6,39,6.3,0.73,0.81,0.05,1,1,basic,0.796,2026-02-16
159,Nicole Carre de la Evrard,0680996930,Rabat,34.0948,-6.76404,Menuiserie,9,213,4.6,50,2.4,1.0,0.84,0.12,1,1,basic,0.833,2026-01-29
160,Suzanne-Colette Charles,0682722992,Agadir,30.34864,-9.59786,Électricité,1,327,2.9,128,8.4,0.52,0.93,0.03,1,1,basic,0.688,2026-04-20
161,Roger Samson,0749892665,Marrakech,31.63337,-7.91808,Serrurerie,2,119,3.1,116,2.2,0.69,0.97,0.08,1,0,free,0.559,2025-10-16
162,Frédérique Ferrand,0659136517,Oujda,34.77041,-2.01808,Menuiserie,3,325,3.0,58,2.0,0.8,0.89,0.06,1,1,basic,0.505,2026-02-01
163,Olivier De Sousa-Lévêque,0641379772,Fès,33.95432,-4.99727,Déménagement,9,192,2.0,42,5.3,0.8,0.94,0.12,1,1,elite,0.635,2025-03-02
164,Élisabeth Ramos-Tanguy,0729127990,Fès,34.08177,-5.03402,Jardinage,8,337,3.6,17,4.2,0.55,0.9,0.14,1,1,free,0.562,2026-04-30
165,Éléonore Lebreton,0799162473,Meknès,33.89827,-5.57533,Plomberie,8,122,3.9,109,1.0,0.94,0.82,0.03,0,1,elite,0.755,2026-01-17
