id,name,phone,city,latitude,longitude,created_at
210,Rémy Bègue,0644731584,Casablanca,33.53581,-7.65039,2025-09-25
211,Maurice Vallet,0642346199,Oujda,34.67288,-1.81489,2025-04-19
212,Virginie Lemaître,0767694591,Fès,34.09689,-4.90189,2026-02-15
213,Élodie Marty,0717208496,Meknès,33.87822,-5.53278,2025-03-31
214,Thierry de Le Roux,0762531355,Tanger,35.73751,-5.91732,2024-10-30
215,Christiane De Oliveira,0653795381,Tanger,35.67784,-5.87322,2025-07-03
216,Alex Berthelot,0684919665,Agadir,30.44981,-9.59221,2025-04-27
217,Roger Boutin,0704611729,Marrakech,31.56401,-7.91565,2025-05-04
218,Hortense Lévy du Morin,0690742608,Meknès,33.83651,-5.65081,2025-11-26
219,Auguste du Carpentier,0716445561,Casablanca,33.53794,-7.69439,2025-12-25
220,René Dupré Le Léger,0777159103,Tanger,35.75816,-5.93193,2024-07-22
221,Alix Devaux,0732135800,Casablanca,33.49499,-7.48309,2025-02-24
222,Margot Roux,0645964229,Casablanca,33.48895,-7.49312,2025-09-18
223,Margaud Olivier,0771883977,Rabat,33.9401,-6.76335,2025-03-18
224,Aimé Le Goff Le Weiss,0644158331,Tanger,35.81845,-5.83774,2024-08-19
225,Arnaude Michel,0676371539,Oujda,34.59162,-2.01667,2025-11-26
226,Marcelle Foucher,0728123567,Tanger,35.81582,-5.87469,2026-03-01
227,Margot Le Delaunay,0762491271,Marrakech,31.69005,-8.04857,2024-09-24
228,Anouk Bègue,0707875418,Marrakech,31.52498,-7.98957,2024-08-29
229,Bernard Chevallier,0785074510,Tanger,35.74468,-5.90954,2026-03-30
230,Christophe Pages-Picard,0736294897,Meknès,33.94366,-5.56404,2025-11-17
231,Adrien Ollivier,0613100943,Meknès,33.809,-5.64463,2024-08-10
232,Timothée Dufour,0766134732,Rabat,33.97235,-6.75888,2024-12-29
233,Rémy Garcia de Rousset,0701289743,Tanger,35.7891,-5.78949,2024-11-25
234,Olivie Leclerc,0772076502,Tanger,35.79873,-5.90608,2025-03-01
235,Claire Dupré de la Guillet,0695790737,Rabat,33.94971,-6.78533,2024-09-24
236,Théodore Foucher,0738822114,Casablanca,33.64206,-7.57526,2025-05-13
237,Luc Payet,0774570545,Oujda,34.68468,-1.94366,2025-11-16
238,Léon Allard,0626325703,Oujda,34.60297,-1.87123,2026-01-16
239,Tristan Joseph,0661487824,Meknès,33.8631,-5.49446,2026-04-30
240,Antoinette Traore,0744309859,Tanger,35.84339,-5.85756,2024-10-07
241,Emmanuel Giraud,0741072728,Meknès,33.95736,-5.53289,2025-03-27
242,Robert Da Silva,0707034910,Fès,33.99084,-5.04578,2025-10-17
243,Sébastien de Lecoq,0604254882,Agadir,30.32079,-9.63004,2024-08-31
244,Geneviève-Céline Hamon,0791430753,Agadir,30.35053,-9.54771,2026-04-29
245,Alphonse Mahe-Fouquet,0644942965,Meknès,33.87676,-5.44635,2026-01-17
246,Jeanne Cohen,0668344149,Fès,34.07294,-5.06497,2026-03-09
247,Luc Marques,0712875857,Oujda,34.69661,-1.93822,2025-06-01
248,Denise Albert Le Maillard,0708061294,Meknès,33.88627,-5.44753,2025-02-07
249,Astrid-Henriette Bazin,0706260787,Tanger,35.67891,-5.82464,2024-07-29
250,Jules Lemoine,0659149750,Rabat,33.92462,-6.77027,2024-10-06
251,Amélie-Inès Grégoire,0723244079,Casablanca,33.61668,-7.58628,2026-05-09
252,Olivier Picard,0681331708,Marrakech,31.54619,-8.0892,2025-09-01
253,Étienne Valentin,0772384979,Meknès,33.79743,-5.62907,2024-10-08
254,Franck Meunier,0632883774,Meknès,33.81701,-5.65073,2025-03-27
255,Gilbert Dubois,0766176620,Rabat,34.12016,-6.84312,2025-03-21
256,Noël Lopez,0709705277,Oujda,34.60457,-1.93531,2025-03-14
257,Emmanuelle Le Hebert,0658681225,Casablanca,33.67726,-7.62056,2026-04-06
258,Frédéric Marie de la Baudry,0644617679,Tanger,35.75074,-5.75645,2026-04-09
259,Jacques Merle,0725995996,Fès,34.04974,-4.90759,2024-08-12
260,Bernard Lombard-Foucher,0611775331,Casablanca,33.47137,-7.53945,2024-11-29
261,Aimé François,0609410175,Meknès,33.94881,-5.56459,2026-02-15
262,Célina-Suzanne Bruneau,0762983347,Casablanca,33.66468,-7.62847,2025-08-26
263,Capucine Prévost,0783190130,Agadir,30.36845,-9.54574,2024-10-25
264,Bernadette-Virginie Bouvet,0652873397,Casablanca,33.54273,-7.60969,2025-10-29
265,Christine Gérard,0617661912,Tanger,35.72847,-5.74757,2025-11-15
266,Louis Jourdan,0698503446,Agadir,30.34151,-9.59838,2026-05-25
267,Dominique Monnier,0718938984,Tanger,35.66608,-5.75368,2025-07-17
268,Michelle Teixeira,0740056435,Casablanca,33.58303,-7.50508,2024-08-03
269,Martin Joubert,0703719905,Fès,33.96935,-4.93151,2024-08-15
270,Augustin Lemoine Le Merle,0687240107,Meknès,33.91472,-5.52299,2025-11-05
271,Arnaude Gomez,0730003896,Marrakech,31.66201,-7.99591,2026-05-03
272,Henri Martins de Grondin,0726682171,Casablanca,33.58445,-7.68663,2026-02-24
273,Marc Delmas,0633190368,Tanger,35.72745,-5.86792,2026-01-06
274,Jacqueline-Laurence Blanchet,0601027240,Casablanca,33.67925,-7.69469,2025-04-21
275,Françoise Pineau,0729671114,Tanger,35.78164,-5.74958,2025-12-12
276,Alexandre Rousseau,0737458438,Marrakech,31.6284,-7.93024,2025-03-04
277,David Leclercq,0656974132,Tanger,35.80226,-5.83326,2025-11-19
278,Inès Bazin,0652037710,Marrakech,31.58732,-7.96965,2025-10-27
279,Josette Gomez,0710496706,Casablanca,33.52343,-7.57072,2025-07-02
280,Claudine Noël,0668040850,Oujda,34.5882,-1.97503,2026-02-17
281,Laetitia-Manon Couturier,0605966018,Tanger,35.85089,-5.7459,2025-07-06
282,Agathe Perrin,0769984267,Agadir,30.50532,-9.5034,2025-02-02
283,Bernard Le Gosselin,0713845960,Fès,34.12145,-5.04742,2026-02-24
284,Thomas Hebert,0614954277,Agadir,30.3979,-9.56367,2024-06-21
285,Victor Le Bonnin,0778360914,Oujda,34.58051,-2.01151,2026-02-18
286,Marthe Rossi,0744723229,Tanger,35.85751,-5.84688,2026-04-06
287,Sébastien Le Gauthier,0687950830,Casablanca,33.5153,-7.55637,2025-02-24
288,Martine Leleu,0780935118,Agadir,30.32318,-9.52352,2025-09-01
289,Nicole Costa,0795616420,Rabat,34.02329,-6.89847,2025-05-04
290,Olivie Huet,0774902504,Tanger,35.72382,-5.85386,2024-11-04
291,Théodore de la Vincent,0788953690,Casablanca,33.48796,-7.65218,2026-04-07
292,Victor Royer,0613989868,Fès,34.00759,-4.89236,2024-10-06
293,Nathalie Baron,0754394353,Casablanca,33.59626,-7.55538,2025-06-09
294,Georges Germain,0637651588,Marrakech,31.61995,-7.92744,2024-08-21
295,Daniel-Noël Adam,0763928369,Tanger,35.79265,-5.81125,2026-04-16
296,Zoé Lecoq-Letellier,0751166829,Fès,34.05612,-4.93603,2025-10-23
297,Timothée Lecomte-Collin,0621648712,Marrakech,31.71596,-7.89971,2024-07-08
298,Hugues-Daniel Poirier,0628866526,Meknès,33.79057,-5.61931,2026-05-18
299,Augustin Boulay,0799910157,Marrakech,31.67533,-8.06347,2025-07-27
300,Luce Guichard de Bigot,0722981209,Oujda,34.73874,-1.9253,2026-02-01
301,Alexandrie-Capucine Vincent,0772894134,Tanger,35.7971,-5.84405,2025-10-22
302,Anne Meunier,0745652203,Tanger,35.66183,-5.83018,2025-08-18
303,François Bertin,0654214477,Agadir,30.44405,-9.57313,2025-01-19
304,Aurore Launay Le Chartier,0634213882,Fès,33.98757,-4.90969,2024-07-02
305,Xavier Marion,0607053496,Casablanca,33.67253,-7.58119,2025-09-02
306,Dorothée-Noémi Barthelemy,0617674124,Fès,34.10488,-5.04434,2026-04-19
307,Timothée Sanchez-Leconte,0615285478,Rabat,34.12218,-6.77595,2026-04-23
308,Eugène Lemonnier,0661853800,Rabat,34.06562,-6.88164,2025-02-10
309,Amélie Le Roux,0634727274,Fès,34.05197,-4.91954,2024-10-16
310,Daniel Legendre,0606178932,Marrakech,31.65864,-8.07003,2024-07-13
311,Véronique-Élisabeth Labbé,0657824347,Meknès,33.93414,-5.52279,2025-10-18
312,Anastasie Turpin,0713146753,Meknès,33.91466,-5.53791,2026-04-13
313,Gérard Le Gall de la François,0715627796,Meknès,33.81043,-5.55492,2026-05-08
314,Augustin Barbier,0660854566,Marrakech,31.52765,-8.03128,2025-08-30
315,Raymond Jean,0773504763,Meknès,33.87159,-5.45814,2026-01-11
316,Emmanuelle Lamy-Alves,0699529800,Fès,34.04109,-4.93956,2025-06-27
317,William Legendre,0781083583,Rabat,34.08153,-6.87765,2024-11-11
318,Marc Hoarau,0655638300,Meknès,33.97128,-5.60582,2024-06-24
319,Aimé Lamy,0624403304,Rabat,34.02122,-6.77861,2024-10-08
320,Colette Fouquet,0711186008,Meknès,33.92707,-5.62704,2026-02-13
321,Alain Boulanger,0739456804,Fès,33.94585,-4.98093,2025-03-11
322,Victoire du Georges,0764613684,Oujda,34.62241,-1.96237,2025-10-11
323,Gilbert Charpentier,0660765817,Agadir,30.51594,-9.59092,2025-01-19
324,Jeannine Olivier,0779145211,Casablanca,33.55091,-7.64772,2025-12-30
325,Édouard Pages,0612697893,Fès,33.9701,-4.90441,2024-08-03
326,Hélène Grenier,0720599604,Oujda,34.63308,-1.95217,2026-05-11
327,Lucie Julien Le Roux,0753577881,Marrakech,31.68464,-7.91738,2024-09-19
328,Patricia-Anouk Sauvage,0628123710,Meknès,33.93658,-5.57418,2025-08-12
329,Éric Le Gall,0728660416,Oujda,34.6155,-1.84585,2025-04-01
330,Jeanne Peron,0792248395,Agadir,30.43266,-9.57321,2025-11-17
331,Luc Lacombe,0722870562,Agadir,30.42177,-9.66067,2024-11-04
332,Thibault-Gérard Aubert,0733187510,Oujda,34.59309,-1.80827,2026-03-05
333,Honoré Chartier,0650344694,Oujda,34.70712,-2.00507,2025-06-15
334,Adrien Ramos-Leduc,0619213424,Meknès,33.9874,-5.53409,2026-01-02
335,Aurore-Lucy Jacquot,0759994973,Rabat,33.94019,-6.83677,2024-11-23
336,Marie-Audrey Baudry,0692227051,Casablanca,33.63437,-7.48405,2024-07-27
337,Valentine Auger-Neveu,0754813866,Fès,34.03583,-5.01304,2025-07-03
338,Zacharie Poulain de la Neveu,0781932426,Oujda,34.65535,-1.83818,2025-12-29
339,Sylvie Faivre,0686520575,Oujda,34.68456,-1.84892,2025-08-12
340,Élisabeth-Clémence Mallet,0665203758,Marrakech,31.65479,-7.89974,2024-12-20
341,Théodore Da Silva,0748094047,Casablanca,33.59174,-7.62689,2025-07-16
342,Louis Gérard,0709079772,Casablanca,33.68029,-7.54563,2025-10-01
